feature_ref,project_name,category,sub_category,feature_name,description,type,poc,artifact_detail,used_year,feature_extended,alternate_poc
Payment-Integration-Global-E,,Payment,Integration,Global-E,,,,,,f,
Feeds-Integration-simplefeeds,,Feeds,Integration,simplefeeds,,,,,,f,
Tag Manager-Integration-Collection point,,Tag Manager,Integration,Collection point,,,,,,f,
Analytics-Integration-Mix panel,,Analytics,Integration,Mix panel,,,,,,f,
Social Login-Integration-Gigya,,Social Login,Integration,Gigya,,,,,,f,
Social Media-Integration-Pinterest,,Social Media,Integration,Pinterest,,,,,,f,
Loyalty-Integration-Coupon Media,,Loyalty,Integration,Coupon Media,,,,,,f,
CMS-Integration-Word Press,,CMS,Integration,Word Press,,,,,,f,
Marketing-Integration-Link Share,,Marketing,Integration,Link Share,,,,,,f,
BM Extension-CustomFeature-EncryptionDescryptionUtility,,BM Extension,CustomFeature,EncryptionDescryptionUtility,,,,,,f,
Payment-Integration-PayFlowPro,,Payment,Integration,PayFlowPro,,,,,,f,
Customizer-Integration-Shoe Customizer,,Customizer,Integration,Shoe Customizer,,,,,,f,
Gift Card-Integration-Profit Point,,Gift Card,Integration,Profit Point,,,,,,f,
Address Validation-Integration-PFSWEB,,Address Validation,Integration,PFSWEB,,,,,,f,
Affiliate Marketing-Integration-Facebook,,Affiliate Marketing,Integration,Facebook,,,,,,f,
Affiliate Marketing-Integration-Google Shopping,,Affiliate Marketing,Integration,Google Shopping,,,,,,f,
Affiliate Marketing-Integration-Mercent,,Affiliate Marketing,Integration,Mercent,,,,,,f,
Affiliate Marketing-Integration-Channel Intelligence,,Affiliate Marketing,Integration,Channel Intelligence,,,,,,f,
Tag Manager-Integration-Adroll,,Tag Manager,Integration,Adroll,,,,,,f,
Video Management-Integration-Invodo,,Video Management,Integration,Invodo,,,,,,f,
Video Management-Integration-YouTube,,Video Management,Integration,YouTube,,,,,,f,
CMS-Integration-FirstSpirit,,CMS,Integration,FirstSpirit,,,,,,f,
CMS-Integration-SiteCore,,CMS,Integration,SiteCore,,,,,,f,
Taxation-Integration-PFSWEB,,Taxation,Integration,PFSWEB,,,,,,f,
Taxation-Integration-Vertex-L,,Taxation,Integration,Vertex-L,,,,,,f,
Taxation-Integration-Vertex-O,,Taxation,Integration,Vertex-O,,,,,,f,
Promotion-Integration-Icommerce Agent (App CC),,Promotion,Integration,Icommerce Agent (App CC),,,,,,f,
Loyalty-Integration-500 Friends Loyalty,,Loyalty,Integration,500 Friends Loyalty,,,,,,f,
Loyalty-Integration-Crowd Twist,,Loyalty,Integration,Crowd Twist,,,,,,f,
Fraud Check-Integration-Cybersource Fraud,,Fraud Check,Integration,Cybersource Fraud,,,,,,f,
Refferal-Integration-Extole,,Refferal,Integration,Extole,,,,,,f,
E-Magzine-Integration-Zmags,,E-Magzine,Integration,Zmags,,,,,,f,
Rating & Reviews-Integration-Custom RR,,Rating & Reviews,Integration,Custom RR,,,,,,f,
AB Testing-Integration-HiConversion,,AB Testing,Integration,HiConversion,,,,,,f,
AB Testing-Integration-DW Native AB Test,,AB Testing,Integration,DW Native AB Test,,,,,,f,
Shopping-Integration-Taaz,,Shopping,Integration,Taaz,,,,,,f,
Shopping-Integration-Drive Commerce,,Shopping,Integration,Drive Commerce,,,,,,f,
Express Shipping-Integration-ShopRunner,,Express Shipping,Integration,ShopRunner,,,,,,f,
Analytics-Integration-Google Analytics,,Analytics,Integration,Google Analytics,,,,,,f,
Payment-Integration-Payment Tech,,Payment,Integration,Payment Tech,,,,,,f,
Social Sharing-Integration-AddThis,,Social Sharing,Integration,AddThis,,,,,,f,
Social Sharing-Integration-Native share,,Social Sharing,Integration,Native share,,,,,,f,
Chat-Integration-Live Agent,,Chat,Integration,Live Agent,,,,,,f,
Chat-Integration-Live Person,,Chat,Integration,Live Person,,,,,,f,
Store Locator-Integration-Where to get it,,Store Locator,Integration,Where to get it,,,,,,f,
Store Locator-Integration-Google Store Locator,,Store Locator,Integration,Google Store Locator,,,,,,f,
Store Locator-Integration-Photon Store Locator,,Store Locator,Integration,Photon Store Locator,,,,,,f,
Gifting-Integration-Loop Commerce,,Gifting,Integration,Loop Commerce,,,,,,f,
Order Replishment-Integration-Order Groove,,Order Replishment,Integration,Order Groove,,,,,,f,
Order Replishment-Integration-Custom AR,,Order Replishment,Integration,Custom AR,,,,,,f,
OMS-Integration-PFSWEB,,OMS,Integration,PFSWEB,,,,,,f,
OMS-Integration-SAP,,OMS,Integration,SAP,,,,,,f,
QA-Integration-Baazar Voice QA,,QA,Integration,Baazar Voice QA,,,,,,f,
Payment-Integration-Paymetric,,Payment,Integration,Paymetric,,,,,,f,
Payment-Integration-Paypal Express,,Payment,Integration,Paypal Express,,,,,,f,
Payment-Integration-Paypal Incontext,,Payment,Integration,Paypal Incontext,,,,,,f,
Payment-Integration-Paypal standard,,Payment,Integration,Paypal standard,,,,,,f,
Payment-Integration-Paypal Credit,,Payment,Integration,Paypal Credit,,,,,,f,
Payment-Integration-Cardinal Commerce,,Payment,Integration,Cardinal Commerce,,,,,,f,
CMS-Integration-Bazaar Voice Curation,,CMS,Integration,Bazaar Voice Curation,,,,,,f,
BOPIS-Integration-Kibo,,BOPIS,Integration,Kibo,,,,,,f,
Order Tracking-Integration-Narvar,,Order Tracking,Integration,Narvar,,,,,,f,
CRM-Integration-Harte Hanks,,CRM,Integration,Harte Hanks,,,,,,f,
Tag Manager-Integration-Brightex,,Tag Manager,Integration,Brightex,,,,,,f,
Payment-Integration-Affirm,,Payment,Integration,Affirm,Payment Gateway Installment,Custom Integration,,,,f,
Payment-Integration-Cybersource-PFSWeb,,Payment,Integration,Payment-Integration-Cybersource-PFSWeb,,,,,,f,
Rating & Reviews-Integration-Bazaar voice,,Rating & Reviews,Integration,Bazaar Voice Recommended reviews,,,,,,f,
