id,project_name,poc,artifact_detail,feature_ref,used_year,feature_extended,alternate_poc
29,MCM,Hemant Arora,"",Payment-Integration-Paypal Express,2019,f,
30,MCM,Hemant Arora,"",CMS-Integration-Amplience,2019,t,
31,Tapestry | Coach,Anuj Jain,"",CMS-Integration-Amplience,2019,f,
32,MCM,Hemant Arora,China Market Payment via MAPI,Payment-Integration-Alipay,2019,f,
33,MCM,Hemant Arora,"",Payment-Integration-Usafe,2019,f,
34,MCM,Hemant Arora,China Market Payment using wechat,Payment-Integration-Wechat,2019,f,
35,MCM,Hemant Arora,"",Tanslation-Integration-globallink,2019,f,
36,MCM,Hemant Arora,"",Quotes-Integration-TGCommerce,2019,f,
37,MCM,Hemant Arora,"",Payment-Integration-Amazonpay,2019,f,
38,MCM,Hemant Arora,"",Payment-Integration-LGPlus Bank transfer,2019,f,
